Qty,Value,Device,Package,Parts,Description,AVAILABILITY,CENTERLINE_PITCH,CHECK_PRICES,COMMENT,DESCRIPTION,EU_ROHS_COMPLIANCE,HOUSEPART,MF,MP,MPN,NUMBER_OF_POSITIONS,PACKAGE,POPULARITY,POPULATE,PRICE,PRODUCT_TYPE,PURCHASE-URL,SNAPEDA_LINK,TOLERANCE,URL,VOLTAGE,
1,1 nF,CAPACITOR_P_4MM,CP4MM,C1,Library:  MF_Passives,,,,,,,,,,,,,,1,,,,,,,,
3,1K,RESISTOR0603MINI,0603-MINI,"R3, R4, R5",Resistors,,,,,,,,,,,,,,,,,,,,,,
1,292303-1,292303-1,TE_292303-1,USB1,Check availability,In Stock,2 mm[.078 in],https://www.snapeda.com/parts/292303-1/TE+Connectivity+AMP+Connectors/view-part/?ref=eda,292303-1,Type A Standard USB Connector 4 Position Right Angle Mount 1 Port | TE Connectivity 292303-1,Compliant,,TE Connectivity,292303-1,,4,None,,,None,Connector,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=447501&manufacturer=TE Connectivity&part_name=292303-1&search_term=292303-1,https://www.snapeda.com/parts/292303-1/TE+Connectivity+AMP+Connectors/view-part/?ref=snap,,,,
1,DISP_LCD_1.28IN_240X320_50PIN,DISP_LCD_1.28IN_240X320_50PIN,TFT_2.83IN_240X320_50PIN,U$2,,,,,,,,,,,,,,,,,,,,,,,
3,FIDUCIAL,FIDUCIAL,FIDUCIAL_40MIL,"FUD2, FUD3, FUD4",,,,,,,,,,,,,,,,,,,,,,,
3,LED,LED_13MM,LED3MM,"D1, D2, D3",LED,,,,,,,,,,,,,97,,,,,,,,,
4,MOUNTING_HOLE,MOUNTING_HOLE,MOUNTING_HOLE,"MGT1, MGT2, MGT3, MGT4",Chassis Mounting Hole w/GND connection ability,,,,,,,,,,,,,,,,,,,,,,
1,POCKETBEAGLE,POCKETBEAGLE,POCKETBEAGLE,U1,,,,,,,,,,,,,,,,,,,,,,,
2,POTENTIOMETER,POTENTIOMETER,POT-PO90S,"R1, R2",Potentiometer - Examples:,,,,,,,,,,,,,,,,,,,,,,
2,PUSH_BUTTON,PUSH_BUTTON,BUTTON_12.5MM,"SW1, SW2",,,,,,,,,,,,,,,,,,,,,,,